category,title,price,rating,image_url,local_image_path
mystery,Sharp Objects,Â£47.82,4 / 5,https://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,scraped_data\images\mystery\mystery_1.jpg
mystery,"In a Dark, Dark Wood",Â£19.63,1 / 5,https://books.toscrape.com/media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg,scraped_data\images\mystery\mystery_2.jpg
mystery,The Past Never Ends,Â£56.50,4 / 5,https://books.toscrape.com/media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg,scraped_data\images\mystery\mystery_3.jpg
mystery,A Murder in Time,Â£16.64,1 / 5,https://books.toscrape.com/media/cache/11/aa/11aaad48b5f15e262456ca65294084da.jpg,scraped_data\images\mystery\mystery_4.jpg
mystery,The Murder of Roger Ackroyd (Hercule Poirot #4),Â£44.10,4 / 5,https://books.toscrape.com/media/cache/29/fe/29fe70b1b2e5a9ba61d4bd331255e19e.jpg,scraped_data\images\mystery\mystery_5.jpg
mystery,The Last Mile (Amos Decker #2),Â£54.21,2 / 5,https://books.toscrape.com/media/cache/37/f1/37f118b4a56d866e1e8b563759d6966c.jpg,scraped_data\images\mystery\mystery_6.jpg
mystery,That Darkness (Gardiner and Renner #1),Â£13.92,1 / 5,https://books.toscrape.com/media/cache/44/9e/449ed681142bc336646abee754e96639.jpg,scraped_data\images\mystery\mystery_7.jpg
mystery,Tastes Like Fear (DI Marnie Rome #3),Â£10.69,1 / 5,https://books.toscrape.com/media/cache/3c/91/3c91d97266bd6dda322089695fb46daf.jpg,scraped_data\images\mystery\mystery_8.jpg
fiction,Soumission,Â£50.10,1 / 5,https://books.toscrape.com/media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,scraped_data\images\fiction\fiction_1.jpg
fiction,Private Paris (Private #10),Â£47.61,5 / 5,https://books.toscrape.com/media/cache/9d/05/9d0533bae1578846d728a82913b95c26.jpg,scraped_data\images\fiction\fiction_2.jpg
fiction,"We Love You, Charlie Freeman",Â£50.27,5 / 5,https://books.toscrape.com/media/cache/5f/15/5f152afdbc42356ecba02f61058a7e5b.jpg,scraped_data\images\fiction\fiction_3.jpg
fiction,Thirst,Â£17.27,5 / 5,https://books.toscrape.com/media/cache/c4/0a/c40a64f59e7487b1a80a049f6ceb2ba5.jpg,scraped_data\images\fiction\fiction_4.jpg
fiction,The Murder That Never Was (Forensic Instincts #5),Â£54.11,3 / 5,https://books.toscrape.com/media/cache/dc/44/dc44f8e2aebac48ca8553814d9b021a8.jpg,scraped_data\images\fiction\fiction_5.jpg
fiction,Tuesday Nights in 1980,Â£21.04,2 / 5,https://books.toscrape.com/media/cache/6b/da/6bdae061cb92c32b0b83cda8dd10275d.jpg,scraped_data\images\fiction\fiction_6.jpg
fiction,The Vacationers,Â£42.15,4 / 5,https://books.toscrape.com/media/cache/37/25/372578cc073efae80cf284b56040a488.jpg,scraped_data\images\fiction\fiction_7.jpg
fiction,The Regional Office Is Under Attack!,Â£51.36,5 / 5,https://books.toscrape.com/media/cache/f8/31/f8314c7fdaa79fb7191a583e9a852db8.jpg,scraped_data\images\fiction\fiction_8.jpg
